customer_id,activity_date,signup_date,platform,region,segment
52,2026-06-08,2025-12-07,web,EU,pro
57,2026-06-08,2026-03-15,mobile,EU,free
2,2026-06-09,2025-12-14,web,APAC,free
3,2026-06-09,2026-04-09,web,US,free
18,2026-06-09,2026-03-01,web,APAC,free
27,2026-06-09,2026-04-09,web,EU,pro
36,2026-06-09,2025-12-24,desktop,US,pro
42,2026-06-09,2026-03-31,mobile,APAC,pro
53,2026-06-09,2026-01-18,mobile,EU,pro
59,2026-06-09,2025-12-13,mobile,EU,free
3,2026-06-10,2026-04-09,web,US,free
15,2026-06-10,2025-11-21,desktop,US,free
17,2026-06-10,2025-11-18,mobile,APAC,enterprise
18,2026-06-10,2026-03-01,web,APAC,free
20,2026-06-10,2026-04-18,mobile,EU,pro
21,2026-06-10,2026-01-20,web,EU,pro
23,2026-06-10,2025-12-26,desktop,US,free
24,2026-06-10,2026-02-24,web,APAC,free
25,2026-06-10,2026-02-24,web,APAC,pro
30,2026-06-10,2025-12-12,web,US,pro
33,2026-06-10,2026-01-06,web,US,free
34,2026-06-10,2026-02-24,web,APAC,enterprise
41,2026-06-10,2025-12-29,desktop,EU,free
45,2026-06-10,2026-02-12,mobile,APAC,free
54,2026-06-10,2026-02-01,web,EU,pro
59,2026-06-10,2025-12-13,mobile,EU,free
5,2026-06-11,2026-01-15,web,APAC,pro
8,2026-06-11,2026-02-05,web,EU,enterprise
12,2026-06-11,2026-01-30,mobile,APAC,enterprise
13,2026-06-11,2025-11-14,mobile,APAC,free
15,2026-06-11,2025-11-21,desktop,US,free
17,2026-06-11,2025-11-18,mobile,APAC,enterprise
18,2026-06-11,2026-03-01,web,APAC,free
22,2026-06-11,2025-12-08,web,EU,enterprise
23,2026-06-11,2025-12-26,desktop,US,free
24,2026-06-11,2026-02-24,web,APAC,free
25,2026-06-11,2026-02-24,web,APAC,pro
26,2026-06-11,2026-01-20,mobile,US,enterprise
28,2026-06-11,2026-03-23,mobile,EU,free
34,2026-06-11,2026-02-24,web,APAC,enterprise
39,2026-06-11,2026-01-30,web,EU,free
41,2026-06-11,2025-12-29,desktop,EU,free
48,2026-06-11,2026-03-05,web,EU,pro
53,2026-06-11,2026-01-18,mobile,EU,pro
56,2026-06-11,2026-01-19,mobile,APAC,free
57,2026-06-11,2026-03-15,mobile,EU,free
5,2026-06-12,2026-01-15,web,APAC,pro
20,2026-06-12,2026-04-18,mobile,EU,pro
23,2026-06-12,2025-12-26,desktop,US,free
29,2026-06-12,2026-01-24,mobile,US,pro
51,2026-06-12,2025-12-29,web,EU,free
57,2026-06-12,2026-03-15,mobile,EU,free
58,2026-06-12,2026-02-20,mobile,EU,free
60,2026-06-12,2026-04-29,web,APAC,enterprise
9,2026-06-13,2026-02-03,web,US,free
10,2026-06-13,2025-12-16,mobile,EU,pro
11,2026-06-13,2026-02-16,web,US,free
16,2026-06-13,2026-03-10,mobile,EU,free
20,2026-06-13,2026-04-18,mobile,EU,pro
27,2026-06-13,2026-04-09,web,EU,pro
29,2026-06-13,2026-01-24,mobile,US,pro
31,2026-06-13,2026-04-03,desktop,EU,pro
35,2026-06-13,2026-04-05,desktop,EU,pro
38,2026-06-13,2025-11-30,mobile,APAC,enterprise
46,2026-06-13,2026-01-10,web,APAC,pro
52,2026-06-13,2025-12-07,web,EU,pro
53,2026-06-13,2026-01-18,mobile,EU,pro
58,2026-06-13,2026-02-20,mobile,EU,free
3,2026-06-14,2026-04-09,web,US,free
7,2026-06-14,2026-02-04,mobile,EU,pro
10,2026-06-14,2025-12-16,mobile,EU,pro
11,2026-06-14,2026-02-16,web,US,free
16,2026-06-14,2026-03-10,mobile,EU,free
19,2026-06-14,2025-11-20,web,US,free
27,2026-06-14,2026-04-09,web,EU,pro
33,2026-06-14,2026-01-06,web,US,free
35,2026-06-14,2026-04-05,desktop,EU,pro
36,2026-06-14,2025-12-24,desktop,US,pro
38,2026-06-14,2025-11-30,mobile,APAC,enterprise
39,2026-06-14,2026-01-30,web,EU,free
44,2026-06-14,2025-12-15,desktop,US,enterprise
46,2026-06-14,2026-01-10,web,APAC,pro
47,2026-06-14,2026-03-06,desktop,US,free
48,2026-06-14,2026-03-05,web,EU,pro
52,2026-06-14,2025-12-07,web,EU,pro
59,2026-06-14,2025-12-13,mobile,EU,free
60,2026-06-14,2026-04-29,web,APAC,enterprise
2,2026-06-15,2025-12-14,web,APAC,free
5,2026-06-15,2026-01-15,web,APAC,pro
15,2026-06-15,2025-11-21,desktop,US,free
17,2026-06-15,2025-11-18,mobile,APAC,enterprise
26,2026-06-15,2026-01-20,mobile,US,enterprise
34,2026-06-15,2026-02-24,web,APAC,enterprise
45,2026-06-15,2026-02-12,mobile,APAC,free
47,2026-06-15,2026-03-06,desktop,US,free
49,2026-06-15,2025-11-22,mobile,EU,free
58,2026-06-15,2026-02-20,mobile,EU,free
59,2026-06-15,2025-12-13,mobile,EU,free
9,2026-06-16,2026-02-03,web,US,free
12,2026-06-16,2026-01-30,mobile,APAC,enterprise
15,2026-06-16,2025-11-21,desktop,US,free
29,2026-06-16,2026-01-24,mobile,US,pro
32,2026-06-16,2025-11-19,mobile,APAC,pro
36,2026-06-16,2025-12-24,desktop,US,pro
39,2026-06-16,2026-01-30,web,EU,free
45,2026-06-16,2026-02-12,mobile,APAC,free
51,2026-06-16,2025-12-29,web,EU,free
53,2026-06-16,2026-01-18,mobile,EU,pro
55,2026-06-16,2026-04-19,mobile,US,enterprise
60,2026-06-16,2026-04-29,web,APAC,enterprise
2,2026-06-17,2025-12-14,web,APAC,free
3,2026-06-17,2026-04-09,web,US,free
11,2026-06-17,2026-02-16,web,US,free
17,2026-06-17,2025-11-18,mobile,APAC,enterprise
24,2026-06-17,2026-02-24,web,APAC,free
26,2026-06-17,2026-01-20,mobile,US,enterprise
28,2026-06-17,2026-03-23,mobile,EU,free
33,2026-06-17,2026-01-06,web,US,free
37,2026-06-17,2026-03-22,mobile,EU,free
41,2026-06-17,2025-12-29,desktop,EU,free
42,2026-06-17,2026-03-31,mobile,APAC,pro
45,2026-06-17,2026-02-12,mobile,APAC,free
48,2026-06-17,2026-03-05,web,EU,pro
49,2026-06-17,2025-11-22,mobile,EU,free
54,2026-06-17,2026-02-01,web,EU,pro
56,2026-06-17,2026-01-19,mobile,APAC,free
58,2026-06-17,2026-02-20,mobile,EU,free
3,2026-06-18,2026-04-09,web,US,free
6,2026-06-18,2026-05-01,web,APAC,free
12,2026-06-18,2026-01-30,mobile,APAC,enterprise
20,2026-06-18,2026-04-18,mobile,EU,pro
26,2026-06-18,2026-01-20,mobile,US,enterprise
32,2026-06-18,2025-11-19,mobile,APAC,pro
33,2026-06-18,2026-01-06,web,US,free
41,2026-06-18,2025-12-29,desktop,EU,free
43,2026-06-18,2025-12-18,mobile,APAC,free
48,2026-06-18,2026-03-05,web,EU,pro
52,2026-06-18,2025-12-07,web,EU,pro
54,2026-06-18,2026-02-01,web,EU,pro
57,2026-06-18,2026-03-15,mobile,EU,free
4,2026-06-19,2025-12-10,web,APAC,pro
9,2026-06-19,2026-02-03,web,US,free
12,2026-06-19,2026-01-30,mobile,APAC,enterprise
13,2026-06-19,2025-11-14,mobile,APAC,free
18,2026-06-19,2026-03-01,web,APAC,free
22,2026-06-19,2025-12-08,web,EU,enterprise
29,2026-06-19,2026-01-24,mobile,US,pro
41,2026-06-19,2025-12-29,desktop,EU,free
43,2026-06-19,2025-12-18,mobile,APAC,free
46,2026-06-19,2026-01-10,web,APAC,pro
49,2026-06-19,2025-11-22,mobile,EU,free
52,2026-06-19,2025-12-07,web,EU,pro
53,2026-06-19,2026-01-18,mobile,EU,pro
57,2026-06-19,2026-03-15,mobile,EU,free
59,2026-06-19,2025-12-13,mobile,EU,free
2,2026-06-20,2025-12-14,web,APAC,free
3,2026-06-20,2026-04-09,web,US,free
4,2026-06-20,2025-12-10,web,APAC,pro
13,2026-06-20,2025-11-14,mobile,APAC,free
20,2026-06-20,2026-04-18,mobile,EU,pro
22,2026-06-20,2025-12-08,web,EU,enterprise
28,2026-06-20,2026-03-23,mobile,EU,free
31,2026-06-20,2026-04-03,desktop,EU,pro
34,2026-06-20,2026-02-24,web,APAC,enterprise
36,2026-06-20,2025-12-24,desktop,US,pro
37,2026-06-20,2026-03-22,mobile,EU,free
39,2026-06-20,2026-01-30,web,EU,free
53,2026-06-20,2026-01-18,mobile,EU,pro
54,2026-06-20,2026-02-01,web,EU,pro
58,2026-06-20,2026-02-20,mobile,EU,free
59,2026-06-20,2025-12-13,mobile,EU,free
4,2026-06-21,2025-12-10,web,APAC,pro
8,2026-06-21,2026-02-05,web,EU,enterprise
9,2026-06-21,2026-02-03,web,US,free
14,2026-06-21,2026-03-04,web,US,enterprise
30,2026-06-21,2025-12-12,web,US,pro
32,2026-06-21,2025-11-19,mobile,APAC,pro
33,2026-06-21,2026-01-06,web,US,free
36,2026-06-21,2025-12-24,desktop,US,pro
46,2026-06-21,2026-01-10,web,APAC,pro
52,2026-06-21,2025-12-07,web,EU,pro
56,2026-06-21,2026-01-19,mobile,APAC,free
60,2026-06-21,2026-04-29,web,APAC,enterprise
3,2026-06-22,2026-04-09,web,US,free
4,2026-06-22,2025-12-10,web,APAC,pro
5,2026-06-22,2026-01-15,web,APAC,pro
6,2026-06-22,2026-05-01,web,APAC,free
11,2026-06-22,2026-02-16,web,US,free
17,2026-06-22,2025-11-18,mobile,APAC,enterprise
18,2026-06-22,2026-03-01,web,APAC,free
23,2026-06-22,2025-12-26,desktop,US,free
28,2026-06-22,2026-03-23,mobile,EU,free
29,2026-06-22,2026-01-24,mobile,US,pro
30,2026-06-22,2025-12-12,web,US,pro
31,2026-06-22,2026-04-03,desktop,EU,pro
34,2026-06-22,2026-02-24,web,APAC,enterprise
35,2026-06-22,2026-04-05,desktop,EU,pro
40,2026-06-22,2026-03-02,desktop,US,free
46,2026-06-22,2026-01-10,web,APAC,pro
50,2026-06-22,2026-02-07,web,EU,enterprise
51,2026-06-22,2025-12-29,web,EU,free
56,2026-06-22,2026-01-19,mobile,APAC,free
1,2026-06-23,2026-03-01,mobile,EU,pro
12,2026-06-23,2026-01-30,mobile,APAC,enterprise
14,2026-06-23,2026-03-04,web,US,enterprise
16,2026-06-23,2026-03-10,mobile,EU,free
18,2026-06-23,2026-03-01,web,APAC,free
20,2026-06-23,2026-04-18,mobile,EU,pro
23,2026-06-23,2025-12-26,desktop,US,free
34,2026-06-23,2026-02-24,web,APAC,enterprise
37,2026-06-23,2026-03-22,mobile,EU,free
38,2026-06-23,2025-11-30,mobile,APAC,enterprise
46,2026-06-23,2026-01-10,web,APAC,pro
48,2026-06-23,2026-03-05,web,EU,pro
52,2026-06-23,2025-12-07,web,EU,pro
54,2026-06-23,2026-02-01,web,EU,pro
55,2026-06-23,2026-04-19,mobile,US,enterprise
60,2026-06-23,2026-04-29,web,APAC,enterprise
4,2026-06-24,2025-12-10,web,APAC,pro
6,2026-06-24,2026-05-01,web,APAC,free
11,2026-06-24,2026-02-16,web,US,free
17,2026-06-24,2025-11-18,mobile,APAC,enterprise
21,2026-06-24,2026-01-20,web,EU,pro
22,2026-06-24,2025-12-08,web,EU,enterprise
26,2026-06-24,2026-01-20,mobile,US,enterprise
39,2026-06-24,2026-01-30,web,EU,free
58,2026-06-24,2026-02-20,mobile,EU,free
59,2026-06-24,2025-12-13,mobile,EU,free
1,2026-06-25,2026-03-01,mobile,EU,pro
2,2026-06-25,2025-12-14,web,APAC,free
8,2026-06-25,2026-02-05,web,EU,enterprise
10,2026-06-25,2025-12-16,mobile,EU,pro
14,2026-06-25,2026-03-04,web,US,enterprise
22,2026-06-25,2025-12-08,web,EU,enterprise
26,2026-06-25,2026-01-20,mobile,US,enterprise
29,2026-06-25,2026-01-24,mobile,US,pro
31,2026-06-25,2026-04-03,desktop,EU,pro
34,2026-06-25,2026-02-24,web,APAC,enterprise
36,2026-06-25,2025-12-24,desktop,US,pro
37,2026-06-25,2026-03-22,mobile,EU,free
57,2026-06-25,2026-03-15,mobile,EU,free
58,2026-06-25,2026-02-20,mobile,EU,free
2,2026-06-26,2025-12-14,web,APAC,free
8,2026-06-26,2026-02-05,web,EU,enterprise
10,2026-06-26,2025-12-16,mobile,EU,pro
11,2026-06-26,2026-02-16,web,US,free
16,2026-06-26,2026-03-10,mobile,EU,free
17,2026-06-26,2025-11-18,mobile,APAC,enterprise
21,2026-06-26,2026-01-20,web,EU,pro
22,2026-06-26,2025-12-08,web,EU,enterprise
30,2026-06-26,2025-12-12,web,US,pro
31,2026-06-26,2026-04-03,desktop,EU,pro
35,2026-06-26,2026-04-05,desktop,EU,pro
36,2026-06-26,2025-12-24,desktop,US,pro
46,2026-06-26,2026-01-10,web,APAC,pro
47,2026-06-26,2026-03-06,desktop,US,free
49,2026-06-26,2025-11-22,mobile,EU,free
50,2026-06-26,2026-02-07,web,EU,enterprise
52,2026-06-26,2025-12-07,web,EU,pro
56,2026-06-26,2026-01-19,mobile,APAC,free
59,2026-06-26,2025-12-13,mobile,EU,free
60,2026-06-26,2026-04-29,web,APAC,enterprise
2,2026-06-27,2025-12-14,web,APAC,free
4,2026-06-27,2025-12-10,web,APAC,pro
9,2026-06-27,2026-02-03,web,US,free
14,2026-06-27,2026-03-04,web,US,enterprise
18,2026-06-27,2026-03-01,web,APAC,free
21,2026-06-27,2026-01-20,web,EU,pro
26,2026-06-27,2026-01-20,mobile,US,enterprise
39,2026-06-27,2026-01-30,web,EU,free
44,2026-06-27,2025-12-15,desktop,US,enterprise
47,2026-06-27,2026-03-06,desktop,US,free
48,2026-06-27,2026-03-05,web,EU,pro
58,2026-06-27,2026-02-20,mobile,EU,free
5,2026-06-28,2026-01-15,web,APAC,pro
8,2026-06-28,2026-02-05,web,EU,enterprise
20,2026-06-28,2026-04-18,mobile,EU,pro
30,2026-06-28,2025-12-12,web,US,pro
35,2026-06-28,2026-04-05,desktop,EU,pro
36,2026-06-28,2025-12-24,desktop,US,pro
38,2026-06-28,2025-11-30,mobile,APAC,enterprise
40,2026-06-28,2026-03-02,desktop,US,free
47,2026-06-28,2026-03-06,desktop,US,free
50,2026-06-28,2026-02-07,web,EU,enterprise
55,2026-06-28,2026-04-19,mobile,US,enterprise
60,2026-06-28,2026-04-29,web,APAC,enterprise
2,2026-06-29,2025-12-14,web,APAC,free
3,2026-06-29,2026-04-09,web,US,free
8,2026-06-29,2026-02-05,web,EU,enterprise
15,2026-06-29,2025-11-21,desktop,US,free
21,2026-06-29,2026-01-20,web,EU,pro
25,2026-06-29,2026-02-24,web,APAC,pro
35,2026-06-29,2026-04-05,desktop,EU,pro
44,2026-06-29,2025-12-15,desktop,US,enterprise
45,2026-06-29,2026-02-12,mobile,APAC,free
52,2026-06-29,2025-12-07,web,EU,pro
54,2026-06-29,2026-02-01,web,EU,pro
55,2026-06-29,2026-04-19,mobile,US,enterprise
56,2026-06-29,2026-01-19,mobile,APAC,free
57,2026-06-29,2026-03-15,mobile,EU,free
2,2026-06-30,2025-12-14,web,APAC,free
7,2026-06-30,2026-02-04,mobile,EU,pro
23,2026-06-30,2025-12-26,desktop,US,free
30,2026-06-30,2025-12-12,web,US,pro
35,2026-06-30,2026-04-05,desktop,EU,pro
36,2026-06-30,2025-12-24,desktop,US,pro
38,2026-06-30,2025-11-30,mobile,APAC,enterprise
39,2026-06-30,2026-01-30,web,EU,free
40,2026-06-30,2026-03-02,desktop,US,free
43,2026-06-30,2025-12-18,mobile,APAC,free
55,2026-06-30,2026-04-19,mobile,US,enterprise
58,2026-06-30,2026-02-20,mobile,EU,free
59,2026-06-30,2025-12-13,mobile,EU,free
7,2026-07-01,2026-02-04,mobile,EU,pro
19,2026-07-01,2025-11-20,web,US,free
23,2026-07-01,2025-12-26,desktop,US,free
26,2026-07-01,2026-01-20,mobile,US,enterprise
29,2026-07-01,2026-01-24,mobile,US,pro
35,2026-07-01,2026-04-05,desktop,EU,pro
43,2026-07-01,2025-12-18,mobile,APAC,free
46,2026-07-01,2026-01-10,web,APAC,pro
52,2026-07-01,2025-12-07,web,EU,pro
58,2026-07-01,2026-02-20,mobile,EU,free
7,2026-07-02,2026-02-04,mobile,EU,pro
24,2026-07-02,2026-02-24,web,APAC,free
31,2026-07-02,2026-04-03,desktop,EU,pro
43,2026-07-02,2025-12-18,mobile,APAC,free
46,2026-07-02,2026-01-10,web,APAC,pro
55,2026-07-02,2026-04-19,mobile,US,enterprise
60,2026-07-02,2026-04-29,web,APAC,enterprise
3,2026-07-03,2026-04-09,web,US,free
13,2026-07-03,2025-11-14,mobile,APAC,free
15,2026-07-03,2025-11-21,desktop,US,free
16,2026-07-03,2026-03-10,mobile,EU,free
25,2026-07-03,2026-02-24,web,APAC,pro
28,2026-07-03,2026-03-23,mobile,EU,free
36,2026-07-03,2025-12-24,desktop,US,pro
42,2026-07-03,2026-03-31,mobile,APAC,pro
46,2026-07-03,2026-01-10,web,APAC,pro
47,2026-07-03,2026-03-06,desktop,US,free
54,2026-07-03,2026-02-01,web,EU,pro
58,2026-07-03,2026-02-20,mobile,EU,free
5,2026-07-04,2026-01-15,web,APAC,pro
13,2026-07-04,2025-11-14,mobile,APAC,free
14,2026-07-04,2026-03-04,web,US,enterprise
15,2026-07-04,2025-11-21,desktop,US,free
19,2026-07-04,2025-11-20,web,US,free
28,2026-07-04,2026-03-23,mobile,EU,free
29,2026-07-04,2026-01-24,mobile,US,pro
38,2026-07-04,2025-11-30,mobile,APAC,enterprise
49,2026-07-04,2025-11-22,mobile,EU,free
57,2026-07-04,2026-03-15,mobile,EU,free
2,2026-07-05,2025-12-14,web,APAC,free
3,2026-07-05,2026-04-09,web,US,free
12,2026-07-05,2026-01-30,mobile,APAC,enterprise
16,2026-07-05,2026-03-10,mobile,EU,free
17,2026-07-05,2025-11-18,mobile,APAC,enterprise
25,2026-07-05,2026-02-24,web,APAC,pro
27,2026-07-05,2026-04-09,web,EU,pro
28,2026-07-05,2026-03-23,mobile,EU,free
32,2026-07-05,2025-11-19,mobile,APAC,pro
47,2026-07-05,2026-03-06,desktop,US,free
56,2026-07-05,2026-01-19,mobile,APAC,free
59,2026-07-05,2025-12-13,mobile,EU,free
4,2026-07-06,2025-12-10,web,APAC,pro
7,2026-07-06,2026-02-04,mobile,EU,pro
9,2026-07-06,2026-02-03,web,US,free
19,2026-07-06,2025-11-20,web,US,free
23,2026-07-06,2025-12-26,desktop,US,free
24,2026-07-06,2026-02-24,web,APAC,free
34,2026-07-06,2026-02-24,web,APAC,enterprise
46,2026-07-06,2026-01-10,web,APAC,pro
47,2026-07-06,2026-03-06,desktop,US,free
48,2026-07-06,2026-03-05,web,EU,pro
53,2026-07-06,2026-01-18,mobile,EU,pro
56,2026-07-06,2026-01-19,mobile,APAC,free
57,2026-07-06,2026-03-15,mobile,EU,free
2,2026-07-07,2025-12-14,web,APAC,free
3,2026-07-07,2026-04-09,web,US,free
20,2026-07-07,2026-04-18,mobile,EU,pro
23,2026-07-07,2025-12-26,desktop,US,free
33,2026-07-07,2026-01-06,web,US,free
45,2026-07-07,2026-02-12,mobile,APAC,free
58,2026-07-07,2026-02-20,mobile,EU,free
59,2026-07-07,2025-12-13,mobile,EU,free
60,2026-07-07,2026-04-29,web,APAC,enterprise
3,2026-07-08,2026-04-09,web,US,free
9,2026-07-08,2026-02-03,web,US,free
14,2026-07-08,2026-03-04,web,US,enterprise
15,2026-07-08,2025-11-21,desktop,US,free
18,2026-07-08,2026-03-01,web,APAC,free
19,2026-07-08,2025-11-20,web,US,free
23,2026-07-08,2025-12-26,desktop,US,free
27,2026-07-08,2026-04-09,web,EU,pro
29,2026-07-08,2026-01-24,mobile,US,pro
32,2026-07-08,2025-11-19,mobile,APAC,pro
36,2026-07-08,2025-12-24,desktop,US,pro
37,2026-07-08,2026-03-22,mobile,EU,free
42,2026-07-08,2026-03-31,mobile,APAC,pro
49,2026-07-08,2025-11-22,mobile,EU,free
51,2026-07-08,2025-12-29,web,EU,free
52,2026-07-08,2025-12-07,web,EU,pro
54,2026-07-08,2026-02-01,web,EU,pro
58,2026-07-08,2026-02-20,mobile,EU,free
2,2026-07-09,2025-12-14,web,APAC,free
7,2026-07-09,2026-02-04,mobile,EU,pro
10,2026-07-09,2025-12-16,mobile,EU,pro
19,2026-07-09,2025-11-20,web,US,free
20,2026-07-09,2026-04-18,mobile,EU,pro
21,2026-07-09,2026-01-20,web,EU,pro
22,2026-07-09,2025-12-08,web,EU,enterprise
30,2026-07-09,2025-12-12,web,US,pro
33,2026-07-09,2026-01-06,web,US,free
34,2026-07-09,2026-02-24,web,APAC,enterprise
36,2026-07-09,2025-12-24,desktop,US,pro
41,2026-07-09,2025-12-29,desktop,EU,free
47,2026-07-09,2026-03-06,desktop,US,free
51,2026-07-09,2025-12-29,web,EU,free
52,2026-07-09,2025-12-07,web,EU,pro
53,2026-07-09,2026-01-18,mobile,EU,pro
55,2026-07-09,2026-04-19,mobile,US,enterprise
60,2026-07-09,2026-04-29,web,APAC,enterprise
21,2026-07-10,2026-01-20,web,EU,pro
27,2026-07-10,2026-04-09,web,EU,pro
32,2026-07-10,2025-11-19,mobile,APAC,pro
37,2026-07-10,2026-03-22,mobile,EU,free
47,2026-07-10,2026-03-06,desktop,US,free
52,2026-07-10,2025-12-07,web,EU,pro
55,2026-07-10,2026-04-19,mobile,US,enterprise
60,2026-07-10,2026-04-29,web,APAC,enterprise
6,2026-07-11,2026-05-01,web,APAC,free
16,2026-07-11,2026-03-10,mobile,EU,free
22,2026-07-11,2025-12-08,web,EU,enterprise
24,2026-07-11,2026-02-24,web,APAC,free
30,2026-07-11,2025-12-12,web,US,pro
34,2026-07-11,2026-02-24,web,APAC,enterprise
38,2026-07-11,2025-11-30,mobile,APAC,enterprise
42,2026-07-11,2026-03-31,mobile,APAC,pro
54,2026-07-11,2026-02-01,web,EU,pro
56,2026-07-11,2026-01-19,mobile,APAC,free
58,2026-07-11,2026-02-20,mobile,EU,free
2,2026-07-12,2025-12-14,web,APAC,free
7,2026-07-12,2026-02-04,mobile,EU,pro
9,2026-07-12,2026-02-03,web,US,free
14,2026-07-12,2026-03-04,web,US,enterprise
24,2026-07-12,2026-02-24,web,APAC,free
27,2026-07-12,2026-04-09,web,EU,pro
30,2026-07-12,2025-12-12,web,US,pro
35,2026-07-12,2026-04-05,desktop,EU,pro
